product_name,product_url,image_url,price,category,is_in_stock,measurements
Sirimon Feta – 250g,https://greenspoon.co.ke/product/sirimon-feta/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Feta-Sirimon-Cheese-720x480.jpg,KShs 529,Cheese,true,250g
Sirimon Cheddar Cheese – 500g,https://greenspoon.co.ke/product/sirimon-cheddar-cheese-500g/,https://greenspoon.co.ke/wp-content/uploads/2023/01/Greenspoon-1-38-720x480.jpg,KShs 979,Cheese,true,500g
Lekker Red Cheddar,https://greenspoon.co.ke/product/lekker-red-cheddar/,https://greenspoon.co.ke/wp-content/uploads/2025/11/Greenspoon-80-720x480.jpg,"KShs 1,798",Cheese,true,
VAST Cheese Feta Cheese,https://greenspoon.co.ke/product/vast-cheese-feta-cheese/,https://greenspoon.co.ke/wp-content/uploads/2022/10/Greenspoon-Feta-Cheese-720x480.jpg,KShs 619,Cheese,true,
Sirimon Cheddar – 250g,https://greenspoon.co.ke/product/sirimon-cheddar/,https://greenspoon.co.ke/wp-content/uploads/2017/05/Greenspoon-Kenya-Cheddar-Cheese-Sirimon-720x480.jpg,KShs 519,Cheese,true,250g
Laki Laki Authentic Salted Labneh Cream Cheese – 250ml,https://greenspoon.co.ke/product/laki-laki-authentic-salted-labneh-cream-cheese-250ml/,https://greenspoon.co.ke/wp-content/uploads/2022/01/Greenspoon-Kenya-Labneh-Laki-Laki-720x480.jpg,KShs 398,Cheese,true,250ml
Sirimon Halloumi – 250g,https://greenspoon.co.ke/product/sirimon-halloumi/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Halloumi-Sirimon-Cheese-720x480.jpg,KShs 549,Cheese,true,250g
Sirimon Everyday Cheese – 150g,https://greenspoon.co.ke/product/sirimon-everyday-cheese-150g/,https://greenspoon.co.ke/wp-content/uploads/2025/10/3J2A0529-720x480.jpg,KShs 329,Cheese,true,150g
Sirimon Mozzarella Cheese Balls – 200g,https://greenspoon.co.ke/product/sirimon-mozzarella-cheese-balls-200g/,https://greenspoon.co.ke/wp-content/uploads/2025/10/3J2A0527-2-720x480.jpg,KShs 398,Cheese,true,200g
Sirimon Everyday Cheese – 250g,https://greenspoon.co.ke/product/sirimon-everyday-cheese/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Everyday-Sirimon-Cheese-720x480.jpg,KShs 498,Cheese,true,250g
